,Stock1,Stock2,returns
0,SBUX,VFC,0.3133794609592988
1,EBAY,LEN,0.8364890204977715
2,EXPE,ULTA,0.6977176681503146
3,IQV,LLY,0.18715838312596095
4,BDX,MDT,0.9435116164087363
5,BDX,CVS,1.6475816014093145
6,CMCSA,DIS,0.0
7,CMCSA,EA,0.0
8,CHTR,EA,1.2741646337830659
10,DTE,EIX,0.46718065269999276
11,CMS,XEL,0.0
12,EL,KO,2.896838321985733
13,CLX,WBA,-0.060830183262805426
14,K,SJM,0.0
15,FCX,MLM,0.0
16,FCX,VMC,0.0
17,FCX,SEE,-0.5347097819695904
18,GD,PH,0.1284901950028045
19,CAT,RHI,2.184427237917873
20,CAT,UAL,3.8963593552095386
21,C,CMA,-0.05915213646846926
22,AMP,AXP,0.5790828996320869
23,LNC,RF,0.47373902377944027
24,FFIV,V,0.26473005063730637
25,AVGO,CTSH,3.866499892635196
26,FFIV,STX,-0.30165746410388616
27,CVX,MRO,-1.4994727525281377
28,APA,OXY,1.1668982880204914
29,HES,OKE,0.9569123240002995
30,ARE,EQR,0.001376562225484157
31,CCI,ESS,0.04150325731393874
32,CCI,FRT,-0.060866224214953024
